csex,child_bf,child_eibf,child_eibf_hrs,child_eibf_days,chhild_addbf,chhild_addbf1,chhild_addbf2,chhild_addbf3,chhild_addbf4,chhild_addbf5,chhild_addbf888,child_bfyest,note_liquid,note_liquid2,child_vitdrop,child_ors,child_water,child_juice,child_broth,child_porridge,child_bms,child_bms_freq,child_milk,child_milk_freq,child_mproduct,child_mproduct_freq,child_liquid,note_solid_guide,info_solid_food,child_rice,child_potatoes,child_pumpkin,child_beans,child_leafyveg,child_mango,child_fruit,child_organ,child_beef,child_fish,child_insects,child_eggs,child_yogurt,child_fat,child_plam,child_sweets,child_condiments,child_food_freq,calc_age_months
1,1,0,,,5,0,0,0,0,1,0,1,,,0,0,0,0,0,0,0,,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,1,0,,,1,1,0,0,0,0,0,1,,,0,0,1,0,0,0,0,,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
1,1,0,,,5,0,0,0,0,1,0,1,,,0,0,0,0,0,0,0,,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,1,0,,,4,0,0,0,1,0,0,1,,,1,0,1,0,0,1,0,,0,,0,,0,,,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,0
1,1,0,,,5,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2
1,1,0,,,5,0,0,0,0,1,0,1,,,0,0,0,0,0,0,0,,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,,,,5,0,0,0,0,1,0,0,,,1,0,0,0,0,0,1,3,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
1,1,0,,,5,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
1,1,1,2,,5,0,0,0,0,1,0,1,,,0,0,1,0,0,0,0,,0,,0,,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5
1,1,0,,,5,0,0,0,0,1,0,1,,,0,0,1,0,0,0,0,,0,,0,,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5
1,1,0,,,5,0,0,0,0,1,0,1,,,0,0,0,0,0,0,0,,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,,5,0,0,0,0,1,0,1,,,1,0,0,0,0,0,0,,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1,1,0,,,5,0,0,0,0,1,0,1,,,1,0,1,0,0,0,0,,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,1,0,,,5,0,0,0,0,1,0,1,,,0,0,0,0,0,0,0,,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,1,1,1,,5,0,0,0,0,1,0,1,,,0,0,1,0,0,0,0,,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,1
1,1,2,,3,5,0,0,0,0,1,0,1,,,0,0,1,0,0,0,0,,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
